onset	duration	trial_type	
7,2	2,73	prepa_face
9,93	20,25	face_1
30,19	6,93	face_2
37,29	14,35	rest_face_1
51,64	14,35	rest_face_2
66	14,35	rest_face_3
80,44	1,22	prepa_maze
81,66	26,19	maze
110,3	14,38	rest_maze_1
124,68	14,38	rest_maze_2
139,06	14,38	rest_maze_3
153,45	2,67	prepa_face
156,12	18,64	face_1
174,76	8,55	face_2
183,54	14,33	rest_face_1
197,87	14,33	rest_face_2
212,21	14,33	rest_face_3
226,63	1,22	prepa_maze
227,85	26,19	maze
256,49	14,38	rest_maze_1
270,87	14,38	rest_maze_2
285,25	14,38	rest_maze_3
299,72	1,22	prepa_maze
300,94	26,19	maze
329,51	14,41	rest_maze_1
343,92	14,41	rest_maze_2
358,32	14,41	rest_maze_3
372,74	2,68	prepa_face
375,42	18,89	face_1
394,31	8,29	face_2
402,83	14,33	rest_face_1
417,17	14,33	rest_face_2
431,5	14,33	rest_face_3
445,83	2,67	prepa_face
448,5	19,83	face_1
468,33	7,36	face_2
475,86	14,36	rest_face_1
490,21	14,36	rest_face_2
504,57	14,36	rest_face_3
520,23	32,86	win_maze
553,19	43,11	rest_win_maze
