onset	duration	trial_type
15.099	5.754	prepa_face   
20.853	40.866	face_1       
61.719	16.233	face_2       
78.456	30.093	rest_face_1  
108.549	30.093	rest_face_2  
138.642	30.093	rest_face_3  
168.756	2.709	prepa_maze   
171.486	54.999	maze         
231.462	30.261	rest_maze_1  
261.723	30.261	rest_maze_2  
291.984	30.261	rest_maze_3  
322.392	5.46	prepa_face   
327.852	39.102	face_1       
366.975	17.976	face_2       
385.266	30.156	rest_face_1  
415.422	30.156	rest_face_2  
445.578	30.156	rest_face_3  
475.944	2.541	prepa_maze   
478.485	54.999	maze         
538.629	30.198	rest_maze_1  
568.827	30.198	rest_maze_2  
599.025	30.198	rest_maze_3  
629.412	2.562	prepa_maze   
631.974	54.999	maze         
692.118	30.198	rest_maze_1  
722.337	30.198	rest_maze_2  
752.535	30.198	rest_maze_3  
782.754	5.628	prepa_face   
788.382	40.089	face_1       
828.471	16.989	face_2       
845.88	30.114	rest_face_1  
876.015	30.114	rest_face_2  
906.129	30.114	rest_face_3  
936.243	5.607	prepa_face   
941.85	42.882	face_1       
984.753	14.196	face_2       
999.432	30.114	rest_face_1  
1029.525	30.114	rest_face_2  
1059.639	30.114	rest_face_3  
1092.483	69.006	win_maze     
1161.678	90.552	rest_win_maze
